C'ERA UNA VOLTA E RIVOLTA;A. BELARDINELLI;NARR. BAMBINI
DAL NILO ALL'EUFRATE;AA.VV.;CLASSICI
EIRIK IL ROSSO E ALTRE SAGHE;AA.VV.;CLASSICI
FARSE SPAGNOLE;AA.VV.;CLASSICI
I FRATELLI DI SOLEDAD;AA.VV.;CLASSICI
I GRANDI RACCONTI DEL WEST;AA.VV.;CLASSICI
I GRANDI RACCONTI RUSSI;AA.VV.;CLASSICI
I GRANDI UTOPISTI;AA.VV.;CLASSICI
IL FIORE DELLA LETTERATURA MALESE E INDONESIANA;AA.VV.;CLASSICI
IL GRANDE TEATRO FRANCESE;AA.VV.;CLASSICI
LE GRANDI ESPERIENZE RELIGIOS;AA.VV.;CLASSICI
LE MILLE E UNA NOTTE ;AA.VV.;CLASSICI
LE SERATE DI MEDAN;AA.VV.;CLASSICI
MORALISTI E MEMORIALISTI FRAN;AA.VV.;CLASSICI
NOVELLE ITALIANE;AA.VV.;CLASSICI
PENSIERO E AZIONE NEL RISORG;AA.VV.;CLASSICI
POESIA D'AMORE TURCA E PERSIANA;AA.VV.;CLASSICI
RACCONTI DELLA SCAPIGLIATURA;AA.VV.;CLASSICI
SETTE SECOLI DI NOVELLE ITALIA;AA.VV.;CLASSICI
SETTE SECOLI DI NOVELLE ITALIA;AA.VV.;CLASSICI
STORIA DELLE LETTERATURE DEL;AA.VV.;CLASSICI
Il Baltico e il Mediterraneo;Aalto Alvar;Geografia
QUMRAN;ABECASSI ELLIETTE;NARRATIVA
L'ORO E LA CENERE;ABECASSIS ELIETTE;NARRATIVA
IL VIAGGIO DELLE TIGRI;ADAMS;NARR. BAMBINI
LA RAGAZZA SULL'ALTALENA;ADAMS RICHARD;NARRATIVA
NATA LIBERA;ADAMSON JOY;NARR. RAGAZZI
ARTE E ARCHITETTURA A CREMONA 1920-1940;ADENTI VITTORIO;Storia dell'arte
FRANCESCO ARATA PROGETTI E DISEGNI;ADENTI VITTORIO;Storia dell'arte
BATTUTA DI CACCIA;ADLER OLSEN JUSSI;NARRATIVA
LA DONNA IN GABBIA;ADLER OLSEN JUSSI;NARRATIVA
IL BACIO CREMISI;ADRIAN LARA;NARRATIVA ROSA
ITALIA MAGICA;ADRIANI MAURILIO;STORIA
LE BESTIE DEL BOSCO;AFANASIEF;NARR. RAGAZZI
DIECI PICCOLI INDIANI;AGATHA CHRISTIE;GIALLI VARI
VENTO SCOMPARSO;AGNELLO HORNBY SIMONETTA;NARRATIVA
SCIENZE BIOLOGICHE;AGRARIA I;ENCICLOPEDIA
SCIENZE BIOLOGICHE;AGRARIA II;ENCICLOPEDIA
P.S. I LOVE YOU;AHERN CECELA;NARRATIVA ROSA
CUORE DI MADRE;ALAJMO ROBERTO;NARRATIVA
IL CAPPELLO A TRE PUNTE-NOVEL;ALARCON;CLASSICI
ABBIATE CORAGGIO;ALBERONI FRANCESCO;PSILOLOGIA
L'ARTE DEL COMANDO;ALBERONI FRANCESCO;PSILOLOGIA
VALORI;ALBERONI FRANCESCO;PSILOLOGIA
ZARATHUSHTRA;ALBERTI ARNALDO;SPIRITUALITA'
Trasporti nella provincia di Cremona 100 anni di storia;Albertini - Cerioli;Territorio cremonese/lombardo
LE PAROLE NON SONO DI CARTA;ALBIANTI IDA;POESIE
I RAGAZZI DI JO;ALCOTT;NARR. RAGAZZI
LE PICCOLE DONNE CRESCONO;ALCOTT;NARR. RAGAZZI
PICCOLE DONNE;ALCOTT;NARR. RAGAZZI
UNA RAGAZZA FUORI MODA;ALCOTT;NARR. RAGAZZI
OPERE;ALFIERI;CLASSICI
Vita;Alfieri Vittorio;CLASSICI
ALBERTO MORAVIA IN AMERICA;ALFONSI FERDINANDO;STORIA
SETTE MARI TREDICI FIUMI;ALI MONICA;NARRATIVA
La Divina Commedia - vol. I;Alighieri Dante;CLASSICI
La Divina Commedia - vol. II;Alighieri Dante;CLASSICI
La Divina Commedia - vol. III;Alighieri Dante;CLASSICI
La Divina Commedia - vol. IV;Alighieri Dante;CLASSICI
La Divina Commedia - vol. V;Alighieri Dante;CLASSICI
La Divina Commedia - vol. VI;Alighieri Dante;CLASSICI
LA DIVINA COMMEDIA INFERNO;ALIGHIERI DANTE;CLASSICI
LA DIVINA COMMEDIA PARADISO;ALIGHIERI DANTE;CLASSICI
LA DIVINA COMMEDIA PURGATORIO;ALIGHIERI DANTE;CLASSICI
Le opere minore;Alighieri Dante;CLASSICI
VIAGGIO NELL'ISLAM RADICALE;ALLAM MAGDI;NARRATIVA
Le fiamme verdi e la resistenza dei cattolici cremonesi;Allegri Marco;Territorio cremonese/lombardo
IL PROFUMO DEL PANE ALLA LAVANDA;ALLEN ADDISON SARAH;NARRATIVA ROSA
IL SEGERTO DELL'UOMO MORTO;ALLEN LINDA;GIALLO JUNIOR
AFRODITA;ALLENDE ISABEL;NARRATIVA
EVA LUNA;ALLENDE ISABEL;NARRATIVA
EVA LUNA RACCONTA;ALLENDE ISABEL;NARRATIVA
IL QUADERNO DI MAYA;ALLENDE ISABEL;NARRATIVA
